listing_id,name,price,property_type,review_scores_value,host_id,neighbourhood_id
1856109,Beautiful and Cozy Home for Rental,95,Private room in home,4.77,1989442,40
1876510,Suite in the Beaches,180,Entire rental unit,4.87,9773888,117
1881845,Family house-great location/free reserved parking!,0,Entire home,4.92,6411777,35
1886850,Private Roncesvalles coach house,121,Entire home,4.82,9612740,104
1912628,Downtown Waterfront View Toronto,0,Entire rental unit,4.77,9922227,123
1912746,U5 New Modern Bachelor Downtown Apt,78,Entire home,4.8,9923100,4
1920804,FURNISHED MASTER BEDROOM/PRIVATE WC,137,Private room in home,3.5,9956811,81
1925448,Private room in Downtown Toronto,0,Private room in rental unit,0,9974366,24
1937092,Trinity-Bellwoods Apartment!,100,Entire rental unit,4.7,5099605,120
1945120,Private Courtyard + Best Area,55,Private room in home,4.93,10061029,72
1992288,Gorgeous large open loft apartment,0,Entire rental unit,4.74,9794542,110
2042951,Victorian Home On Subway Faces Park,0,Entire home,0,9880504,36
2045208,Cozy Condo near CN Tower  Roger's Center- DT,200,Entire rental unit,4.51,4356799,123
2061445,Upper Beach House Overlooking Park with Parking,375,Entire home,4.81,9116432,36
2068172,Furnished Luxurious Condo,0,Entire condo,4,10578094,86
2082829,Downtown 1 Bedroom+Parking+WiFi,440,Entire rental unit,4.94,10639186,123
2094556,"Arts Workers Only.  Queen West Loft, 2-18/Jan",0,Entire loft,0,1103209,72
2104845,Comfy/Charming 1 bedroom in Downtown Toronto,0,Entire rental unit,5,2892745,72
2117841,Apartment in Seaton Village/Annex,0,Entire guest suite,4.63,3370930,4
2123691,Boutique Condo in the West End,0,Entire rental unit,5,10830387,114
2124858,"Rm Queen Bed. Qn St 1 min, Beach 5 min. park free",89,Private room in home,4.84,6884061,117
2126181,"The Yoga House,  Yoga, Thai Massage",150,Private room in home,5,10845253,134
2138766,2BR Home Trendy Queen West West,0,Entire home,4.92,3694374,72
2140635,One Bedroom Condo  - 6 mths contract,130,Entire condo,5,195095,90
2150181,3BR Family Home sleeps 6 - Midtown,0,Entire home,0,9317720,137
2164586,Best city view in King West!,0,Entire rental unit,4.8,11044712,88
2165395,Bright & fun eco-home in great neighbourhood,169,Entire home,4.95,11048824,72
2165577,Lovely apt with courtyard view,0,Entire rental unit,0,7341708,123
2171366,A spectacular and authentic loft!,292,Entire place,4.93,11076856,33
2217230,ZEN LOFT IN HEART OF TRINITY BELLWOODS,123,Entire rental unit,4.9,2748348,120
2226745,Huge 1225 sq/f Luxury Leslieville Loft,175,Entire loft,5,11363304,111
2247703,Calm in the heart of the city,178,Entire home,4.96,8303778,35
2267889,Two bedroom with Parking,144,Private room in bungalow,4.68,5927200,91
2272479,Trendy Dundas West Location,0,Entire home,0,1495412,72
2274060,1 BR-Close to DonMills & Eglinton 204,37,Private room in home,4.43,1854872,43
2296506,Fully Furnished Downtown Condo - stunning Lakeview,118,Entire rental unit,4.65,11729337,123
2298592,Cozy attic room in shared house,0,Private room in home,0,2441074,121
2316010,Lovely Bedroom Downtown by subway,0,Private room in rental unit,5,11827037,90
2319682,AUTHENTIC FEATHER FACTORY HARD LOFT!!!,303,Entire loft,4.75,5153529,104
2320893,"Downtown, cozy, holistic space for your comfort",295,Entire rental unit,4.72,10796912,7
2325040,Stylish loft at the trendy neighborhood.,0,Entire loft,0,11875277,111
2329180,"Private Bdrm - Shared 2 BdRm, on Yonge Subway Line",48,Private room in rental unit,4.88,11897371,24
2336683,North Toronto near Sheppard West Subway,95,Private room in guest suite,4.9,11933948,26
2356555,Kashaneh at LuxuryTwo Bedroom Meridian Building,309,Entire rental unit,4.34,12033867,131
2380048,Toronto - Rosedale Furnished Flat,0,Entire rental unit,4.79,864492,105
2413073,Chic house on a quiet street,0,Entire home,0,4455921,89
2424754,Dufferin Grove Home,0,Entire rental unit,0,12391900,35
2434313,"LOFT -  Near Food, Coffee, Transportation",0,Private room in loft,4.82,970712,33
2435178,2Bd/2Bth*Pool/Sauna/Gym*Parking*at Kipling Subway*,160,Entire condo,5,1553458,59
2436090,Boutique Toronto Corner Charmer,0,Entire condo,4.5,1619153,111
2455032,Toronto Beach Queen StreetApartment,0,Entire rental unit,5,12554543,117
2455129,Paradise Downtown Toronto,0,Entire rental unit,4.76,672978,123
2459983,Downtown Condo with Stunning Views,0,Entire rental unit,0,12578668,120
2468156,DANFORTH GEM - FURN 1 BDRM APARTMENT,0,Entire rental unit,4.86,2112835,29
2474185,Village Landing,132,Private room in rental unit,5,1862894,24
2478644,Downtown home private 2 room suite,0,Entire guest suite,4.75,4288804,4
2483875,Our pied-a-terre.  Walk Anywhere!,75,Entire rental unit,4.86,12621649,63
2488787,English Manor in the City,0,Entire rental unit,0,12737510,84
2494635,"Large, ideal location, Toronto house,  furnished",185,Entire home,4.58,12767936,98
2516271,2+den bedrooms downtown Toronto University,253,Entire rental unit,4.69,12028383,7
2524564,❤️ Finch Executive Basement Tiny Room with Window ❤️,60,Private room in home,4.65,32044025,9
2531934,Penthouse Loft - CN Tower/Lake View,449,Entire loft,4.91,12966791,88
2536696,JUNIOR MASTER BEDROOM /PRIVATE WC,129,Private room in home,4.6,9956811,81
2536954,Beautiful Home - Little Italy,0,Entire home,4.93,11341806,95
2565203,Modern Downtown Toronto Condo,0,Entire rental unit,5,13132884,80
2571251,Private Rooms w/t Shared Kitchen Bathrooms Laundry,59,Private room in home,4.56,13165498,8
2576027,"AMAZING BRAND-NEW, LOFT-STYLE",0,Private room in loft,0,13191014,92
2607519,Private Room in 2 bedroom Apartment,0,Private room in rental unit,0,13352980,90
2618025,2F Modern Bright Bachelor,77,Entire home,4.72,9923100,24
2666562,"Beautiful Suite, 21 min. to downtown by Go Train",132,Private room,4.91,13647990,27
2666635,☆☆☆☆☆ Breathtaking 1st Class Basement Room ☆☆☆☆☆,0,Private room in home,4.44,11206244,9
2684516,Modern Design Guest Suite,128,Private room in townhouse,4.88,3982898,20
2692019,Bright and modern at Yonge/Eglinton,70,Private room in condo,4.87,13777341,84
2721128,"Small, Sweet & Complete Suite",56,Entire rental unit,4.62,377846,36
2736265,The heart of Yonge & Eglinton,69,Private room in condo,4.92,13777341,84
2739614,Traveler's Home,67,Private room in rental unit,0,4420576,90
2746751,Vibrant downtown place,205,Entire condo,4.87,14052914,7
2774695,Stylish Parkdale private bed & bath,0,Private room in home,4.97,653502,110
2785516,Funky one-bedroom unit w/ Netflix,81,Entire guest suite,4.73,1007531,28
2807413,"Cozy, downtown Rosedale apartment",0,Entire rental unit,0,3882347,4
2817835,Zen Den - Kensington King Size Bed,127,Private room in rental unit,4.76,14405518,63
2863021,1 Room  in Beautiful DT Neighbourhood!,0,Private room in rental unit,0,14634031,138
2881715,A Perfect Taste of Little Italy,0,Entire rental unit,4.75,661347,120
2888365,"Cozy, Cool 2 Bedroom Little Italy",226,Entire rental unit,4.72,14761152,95
2906218,Beautiful 1 Bedroom in Victorian Home!,185,Entire home,4.74,14845797,63
2908087,perfect spot for toronto vaycay,0,Entire rental unit,4.75,7042370,95
2918244,CHARMING 3BR HOME W/FIREPLACE & PRIVATE YARD W/BBQ,157,Entire home,4.85,505377269,28
2930411,Close to everything,238,Private room in townhouse,5,14963497,29
2939447,Comfy downtown private apartment.,0,Entire rental unit,0,15008341,24
2947976,Artsy full-on apartment (1 BR),0,Entire rental unit,0,15049277,33
2969361,Tree top gem - Downtown Toronto,155,Entire rental unit,4.97,15150765,80
2988248,Luxe Life in  Little Italy Dwtn 3 bed Open Concept,600,Entire home,4.73,14761152,95
2988568,Delightful Apartment w/ Private Outdoor Space!,238,Entire rental unit,4.68,14761152,95
2993831,Spacious Loft w/ Victorian Charm & Balcony!,508,Entire rental unit,4.86,14761152,95
2997407,Charming Loft w/ Skylight & Balconies!,425,Entire rental unit,4.65,14761152,95
3001121,Charming Garden Apartment w/Fireplace + Location!,425,Entire home,4.63,14761152,95
3001761,Charming Pied A Terre w/ Great Location!,175,Entire rental unit,4.52,14761152,95
3005200,Danforth Village,0,Entire home,4.75,651297,98
3012895,Stylish sunny room in Toronto!,60,Private room in rental unit,4.83,2362826,139
3031632,Spacious Bedroom close to Downtown,0,Private room in home,0,4186924,87
3032302,Great Location in Downtown Toronto,0,Private room in rental unit,4.68,15445037,20
3105895,testing home sharing Cypher,0,Shared room in home,0,4634401,1
3109354,Summer in Downtown Toronto!,0,Private room in home,0,7660935,35
3131003,LARGE HOUSE IN TORONTO,0,Entire home,0,15899786,52
3152405,Penthouse Apartment Awesome View,0,Entire rental unit,4.75,15999017,104
3162666,Cosy Queen W garden apt w/ parking,183,Entire guest suite,4.83,16044016,88
3188770,Private bedroom on subway station,0,Private room in rental unit,4,10655133,59
3197148,Luxury furnished Apartment in prime location,105,Entire rental unit,5,16204072,84
3197598,Spacious Loft in Historic King West,0,Entire rental unit,4.67,2475973,123
3213607,"Trendy King/Queen West Studio, private entrance",0,Private room in townhouse,4.44,8024143,88
3229123,☆☆☆☆☆  Modern 2bd/2bth Suite Downtown Toronto,219,Entire rental unit,4.76,11206244,123
3229169,Entire Guest Suite in Home,100,Entire guest suite,4.75,9330404,60
3246128,Downtown residential,0,Private room in home,5,16420646,120
3257244,Luxury 1BR Downtown Condo @TIFF unit 3209,135,Entire condo,0,16472303,123
3258149,1 bdr condo next Liberty Village Long Term only,87,Entire home,4.82,16306520,72
3264728,The Loft / Lower Rate / Welcome Health Care worker,140,Private room in home,4.77,1170217,24
3270314,Toronto High Park Apartment,220,Entire rental unit,4.74,1200367,51
3282729,Little Italy - Apartment,0,Private room in townhouse,4.81,16590728,95
3312043,Danforth Village Century Home,356,Entire home,4.7,1485530,29
3330285,Apartment in Mid-town,0,Entire rental unit,0,6029682,84
3333447,One Bedroom Apt near Subway,99,Entire guest suite,4.35,16829219,33
3339294,Large eclectic room in a Shared loft,69,Private room in loft,4.85,13066292,72
3348401,"Spacious, charming 3 storey home in great ‘hood",450,Entire home,5,16898206,104
3364609,South Beach Marina Townhomes,450,Private room in home,4.74,10088357,88
3369760,Spacious & Bright in Greektown,0,Entire home,0,17001223,18
